Sam;Dist_m;OTU_dist;Storage_type;
179;187,6882611;0,729773846;Frozen;0,018
180;118,4661846;0,825532201;Frozen;0,131
181;27,52019571;0,933372965;Frozen;0,42
182;41,91895459;0,763189262;Frozen;0,389
183;198,9596678;0,597754685;Frozen;0,048
184;96,26379509;0,779121121;Frozen;0,533
185;26,06463827;0,928249085;Frozen;0,984
186;223,370963;0,857391479;Frozen;0,528
187;97,4530484;0,849945075;Frozen;0,879
188;240,5387382;0,766624759;Frozen;0,265
189;74,28553603;0,738278229;Frozen;0,06
190;266,1071291;0,858270862;Frozen;0,648
191;247,051177;0,925179915;LB;0,858
192;245,9753148;0,747300529;LB;0,411
193;283,9254929;1;LB;1
194;307,9315566;0,962174258;LB;0,926
195;345,3161936;1;LB;1
196;401,6158531;0,962094322;LB;0,936
197;455,5200139;0,944391031;LB;0,725
198;444,5834853;0,935147196;LB;0,479
199;457,4258341;0,970217879;LB;0,723
200;43,65457424;0,921435025;LB;0,997
201;483,371291;1;LB;1
202;60,87711872;0,92628182;LB;0,989
203;82,63846185;0,908133414;LB;0,629
204;104,2380903;0,815191886;LB;0,584
205;104,0679539;0,937096124;LB;0,641
206;130,0306613;0,948692471;LB;0,94
207;188,048409;0,940679537;LB;0,873
208;199,0831526;0,937811249;LB;0,737
209;23,51160224;0,925986469;LB;0,635
210;44,48821114;0,884559885;LB;0,43
211;60,88954689;1;LB;1
212;98,26551231;0,829362818;LB;0,61
213;155,303355;0,898407438;LB;0,576
214;208,6391738;1;LB;1
215;197,6446402;0,878778917;LB;0,456
216;212,0580788;0,728182525;LB;0,022
217;207,091912;0,830050172;LB;0,366
218;241,1728868;1;LB;1
219;188,7010704;0,996606827;LB;0,896
220;165,4594161;0,981452736;LB;0,869
221;143,3111256;0,868075338;LB;0,73
222;146,2030015;1;LB;1
223;122,9248082;0,86204545;LB;0,554
224;295,8093898;0,781667081;LB;0,447
225;48,77972207;0,813267363;LB;0,321
226;37,95173727;0,765571505;LB;0,162
227;66,8732678;0,882103817;LB;0,292
228;103,0654307;0,921285077;LB;0,406
229;162,019936;1;LB;1
230;213,3830997;0,907882794;LB;0,476
231;200,1586281;1;LB;1
232;211,5183209;0,951909817;LB;0,493
233;208,0564461;0,972611191;LB;0,956
234;237,8823688;1;LB;1
235;189,8574231;0,893647949;LB;0,544
236;166,4564482;0,918494823;LB;0,113
237;144,3128893;0,910652117;LB;0,527
238;142,7231977;1;LB;1
239;117,7550611;0,949231266;LB;0,759
240;309,540592;0,906657537;LB;0,613
