Taxa;SampleID;SampleSite;SampleType;Date;Taxa5;Taxa7;Taxa9;Taxa10;Taxa11;Taxa12;Taxa13;Taxa15;Taxa17;Taxa18;Taxa19;Taxa20;Taxa22;Taxa23;Taxa24
AF55;J3_5V;J;5v;Day3;0;0;0;0;100308;0;0;0;0;0;0;0;0;0;0
AF56;H1_5VX12;H;5v_12;Day1;11872;0;0;0;0;620;0;0;0;0;0;0;0;0;0
AF61;J1_5V;J;5v;Day1;0;0;0;0;0;0;0;0;9899;0;0;0;0;0;0
AF67;F3_12V;F;12v;Day3;30009;0;0;0;0;0;0;0;0;10924;0;0;0;0;0
AF69;E1_5VX12;E;5v_12;Day1;0;0;0;0;0;21875;0;0;0;0;0;0;0;0;0
AF70;J1_12VX5;J;12v_5;Day1;0;0;0;0;0;1594;0;0;0;0;0;0;0;0;0
AF75;H1_5V;H;5v;Day1;20993;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF79;B3_5V;B;5v;Day3;0;0;0;0;0;0;0;0;7799;0;0;0;0;0;0
AF8;J2_12VX5;J;12v_5;Day2;0;16865;0;0;0;0;0;0;0;0;0;0;0;0;0
AF86;I1_12V;I;12v;Day1;6061;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF87;A2_5VX12;A;5v_12;Day2;5652;29962;0;0;0;0;0;0;0;0;0;0;0;0;0
AF88;A3_12VP;A;12vP;Day3;0;0;0;0;0;2605;26577;3333;0;0;0;0;0;0;0
AF90;D3_12V;D;12v;Day3;20085;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF92;B3_5VX12;B;5v_12;Day3;0;4262;0;0;0;0;0;0;0;0;0;0;0;0;0
AF93;F1_5V;F;5v;Day1;0;0;0;0;0;9133;0;0;0;0;0;0;0;0;0
AF95;B3_12VX5;B;12v_5;Day3;0;17045;0;0;0;0;0;0;0;0;0;0;0;0;5965
AF96;G3_5VX12;G;5v_12;Day3;75283;0;0;0;0;0;0;0;0;0;0;0;0;0;0
