OTU;SampleID;SampleSite;SampleType;Date;Richness
AF164;G1_12V;G;12v;Day1;5
AF165;D1_5VX12;D;5v_12;Day1;3
AF166;C3_12V;C;12v;Day3;7
AF167;F2_12VP;F;12vp;Day2;0
AF168;H1_12VX5;H;12v_5;Day1;5
AF169;F1_12VX5;F;12v_5;Day1;4
AF17;B2_5VP;B;5vp;Day2;0
AF170;D1_5VP;D;5vp;Day1;0
AF171;I2_5VP;I;5vp;Day2;0
AF172;F3_5V;F;5v;Day3;3
AF173;H3_12V;H;12v;Day3;11
AF174;C1_5V;C;5v;Day1;0
AF175;J1_5VX12;J;5v_12;Day1;3
AF176;H1_12VP;H;12vp;Day1;0
AF177;D1_12VX5;D;12v_5;Day1;5
AF178;D1_12VP;D;12vp;Day1;0
AF179;D2_5V;D;5v;Day2;1
AF18;C2_12VP;C;12vp;Day2;0
AF180;E2_12VP;E;12vp;Day2;0
AF181;C2_12V;C;12v;Day2;4
AF182;H1_5VP;H;5vp;Day1;0
AF19;B1_12VP;B;12vp;Day1;0
AF2;B3_12V;B;12v;Day3;12
AF20;D1_12V;D;12v;Day1;2
AF21;B2_5V;B;5v;Day2;2
AF22;G3_12VX5;G;12v_5;Day3;5
AF23;H3_12VP;H;12vp;Day3;0
AF24;I1_5VP;I;5vp;Day1;0
AF25;J3_12VP;J;12vp;Day3;0
AF26;G3_5V;G;5v;Day3;5
AF27;C1_12VX5;C;12v_5;Day1;5
AF28;J1_12VP;J;12vp;Day1;0
AF29;C3_5V;C;5v;Day3;1
AF3;H2_12VX5;H;12v_5;Day2;9
AF30;A3_5V;A;5v;Day3;0
AF31;A1_12V;A;12v;Day1;4
AF32;E2_5VP;E;5vp;Day2;0
AF33;E1_12VX5;E;12v_5;Day1;2
AF34;C2_5VX12;C;5v_12;Day2;6
AF35;G2_5VX12;G;5v_12;Day2;5
AF36;A2_12VP;A;12vp;Day2;0
AF37;H2_12V;H;12v;Day2;6
AF38;G1_5V;G;5v;Day1;2
AF39;G2_5V;G;5v;Day2;4
AF4;E2_5V;E;5v;Day2;1
AF40;F3_5VX12;F;5v_12;Day3;6
AF41;H3_12VX5;H;12v_5;Day3;8
AF42;C3_5VP;C;5vp;Day3;0
AF43;A2_12VX5;A;12v_5;Day2;2
AF44;J2_5VX12;J;5v_12;Day2;3
AF45;C2_5VP;C;5vp;Day2;0
AF46;F3_12VX5;F;12v_5;Day3;3
AF47;G1_5VX12;G;5v_12;Day1;3
AF48;A3_12V;A;12v;Day3;8
AF49;C1_12V;C;12v;Day1;9
AF5;E1_5V;E;5v;Day1;3
AF50;I3_5VX12;I;5v_12;Day3;7
AF51;A1_12VX5;A;12v_5;Day1;2
AF52;G2_12V;G;12v;Day2;4
AF53;I2_5VX12;I;5v_12;Day2;2
AF54;G3_12VP;G;12vp;Day3;0
AF55;J3_5V;J;5v;Day3;8
AF56;H1_5VX12;H;5v_12;Day1;4
AF57;J1_5VP;J;5vp;Day1;0
AF58;I1_5V;I;5v;Day1;5
AF59;B3_5VP;B;5vp;Day3;0
AF6;G2_5VP;G;5vp;Day2;0
AF60;B3_12VP;B;12vp;Day3;0
AF61;J1_5V;J;5v;Day1;4
AF62;B2_12VX5;B;12v_5;Day2;2
AF64;J3_5VP;J;5vp;Day3;0
AF65;E1_5VP;E;5vp;Day1;0
AF66;I2_12VX5;I;12v_5;Day2;4
AF67;F3_12V;F;12v;Day3;10
AF68;F1_12VP;F;12vp;Day1;0
AF69;E1_5VX12;E;5v_12;Day1;1
AF7;D3_5V;D;5v;Day3;2
AF70;J1_12VX5;J;12v_5;Day1;3
AF71;H2_12VP;H;12vp;Day2;0
AF72;J2_12V;J;12v;Day2;5
AF73;C3_5VX12;C;5v_12;Day3;6
AF74;I2_12VP;I;12vp;Day2;0
AF75;H1_5V;H;5v;Day1;0
AF76;B2_5VX12;B;5v_12;Day2;2
AF77;J3_12VX5;J;12v_5;Day3;4
AF78;B1_12VX5;B;12v_5;Day1;3
AF79;B3_5V;B;5v;Day3;1
AF8;J2_12VX5;J;12v_5;Day2;1
AF80;F1_12V;F;12v;Day1;4
AF81;A3_12VX5;A;12v_5;Day3;4
AF82;D3_12VX5;D;12v_5;Day3;5
AF83;E3_12VP;E;12vp;Day3;1
AF84;F2_5VP;F;5vp;Day2;0
AF85;G2_12VX5;G;12v_5;Day2;1
AF86;I1_12V;I;12v;Day1;4
AF87;A2_5VX12;A;5v_12;Day2;3
AF88;A3_12VP;A;12vp;Day3;12
AF89;F2_5V;F;5v;Day2;1
AF9;D3_5VP;D;5vp;Day3;0
AF90;D3_12V;D;12v;Day3;8
AF91;E1_12V;E;12v;Day1;7
AF92;B3_5VX12;B;5v_12;Day3;9
AF93;F1_5V;F;5v;Day1;4
AF94;J2_5V;J;5v;Day2;2
AF95;B3_12VX5;B;12v_5;Day3;12
AF96;G3_5VX12;G;5v_12;Day3;4
AF97;E3_12VX5;E;12v_5;Day3;8
AF98;D2_5VP;D;5vp;Day2;0
AF99;A1_5VP;A;5vp;Day1;0
