OTU;SampleID;SampleSite;SampleType;Date;Taxa2;Taxa3;Taxa5;Taxa6;Taxa7;Taxa8;Taxa9;Taxa10;Taxa11;Taxa12;Taxa14;Taxa15;Taxa16;Taxa17;Taxa18;Taxa19;Taxa20;Taxa21;Taxa22;Taxa23;Taxa24;Taxa25;Taxa26;Taxa27;Taxa28;Taxa29;Taxa30;Taxa31;Taxa32;Taxa33;Taxa34;Taxa35;Taxa36;Taxa37;Taxa38;Taxa39;Taxa40;Taxa41;Taxa43;Taxa44;Taxa45
AF40;F3_5VX12;F;5v_12;Day3;7840;15770;0;0;2802;0;0;7451;0;0;0;4082;0;0;0;0;0;0;0;0;0;0;1123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF41;H3_12VX5;H;12v_5;Day3;0;26143;0;6003;0;4514;2314;0;0;1318;0;0;0;0;0;0;1793;0;0;0;3497;0;0;0;0;0;0;0;0;0;0;0;0;3645;0;0;0;0;0;0;0
AF43;A2_12VX5;A;12v_5;Day2;5337;0;0;0;0;0;0;0;9397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF44;J2_5VX12;J;5v_12;Day2;6968;0;0;4128;0;0;4886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF46;F3_12VX5;F;12v_5;Day3;9006;14975;0;10417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF47;G1_5VX12;G;5v_12;Day1;0;0;0;0;0;0;0;0;0;0;4281;0;0;0;0;0;0;0;4029;0;0;0;0;2545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF48;A3_12V;A;12v;Day3;24295;11504;0;1452;0;0;8226;0;0;7422;4908;0;0;0;0;0;0;0;0;8439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313;0;0
AF49;C1_12V;C;12v;Day1;9807;0;0;0;0;9935;0;3420;7297;6308;0;4003;2953;0;0;0;0;1144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6066;0;0;0;0;0;0;0;0
AF5;E1_5V;E;5v;Day1;2666;0;0;0;25053;0;0;0;0;0;0;2289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF50;I3_5VX12;I;5v_12;Day3;10226;0;0;0;0;8526;5568;0;0;0;0;5302;0;4920;0;544;645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF51;A1_12VX5;A;12v_5;Day1;8045;0;0;0;0;0;0;0;4798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF52;G2_12V;G;12v;Day2;15877;7881;0;0;0;4025;0;0;0;0;0;0;0;0;0;0;0;4190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF53;I2_5VX12;I;5v_12;Day2;10545;0;0;0;0;0;0;3585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF55;J3_5V;J;5v;Day3;6272;0;0;9305;0;3109;20088;3411;0;19182;0;0;0;0;0;0;0;0;0;0;0;17490;0;4570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF56;H1_5VX12;H;5v_12;Day1;8058;0;0;0;0;0;0;0;3903;0;0;0;0;0;0;0;0;4017;0;0;0;0;0;0;5777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
