OTU;SampleID;SampleSite;SampleType;Date;Taxa2;Taxa3;Taxa5;Taxa6;Taxa7;Taxa8;Taxa9;Taxa10;Taxa11;Taxa12;Taxa14;Taxa15;Taxa16;Taxa17;Taxa18;Taxa19;Taxa20;Taxa21;Taxa22;Taxa23;Taxa24;Taxa25;Taxa26;Taxa27;Taxa28;Taxa29;Taxa30;Taxa31;Taxa33;Taxa37;Taxa39;Taxa40;Taxa41;Taxa43;Taxa44;Taxa45
AF21;B2_5V;B;5v;Day2;13248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF26;G3_5V;G;5v;Day3;8344;9883;0;3417;0;0;0;0;0;7541;0;0;0;0;0;1921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF29;C3_5V;C;5v;Day3;8573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF38;G1_5V;G;5v;Day1;14554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF39;G2_5V;G;5v;Day2;12260;0;0;0;0;3770;0;0;0;0;17176;0;0;0;0;0;0;0;0;0;0;0;5048;0;0;0;0;0;0;0;0;0;0;0;0;0
AF4;E2_5V;E;5v;Day2;15290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF5;E1_5V;E;5v;Day1;2666;0;0;0;25053;0;0;0;0;0;0;2289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF55;J3_5V;J;5v;Day3;6272;0;0;9305;0;3109;20088;3411;0;19182;0;0;0;0;0;0;0;0;0;0;0;17490;0;4570;0;0;0;0;0;0;0;0;0;0;0;0
AF58;I1_5V;I;5v;Day1;11262;9382;0;0;5779;0;0;0;0;0;0;0;0;3316;0;0;0;3270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF61;J1_5V;J;5v;Day1;14400;9926;0;0;0;0;0;0;0;0;0;0;0;0;5924;0;0;0;0;0;0;0;0;0;0;2063;0;0;0;0;0;0;0;0;0;0
AF7;D3_5V;D;5v;Day3;0;10104;0;0;0;0;0;0;0;0;0;0;0;0;0;3743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF79;B3_5V;B;5v;Day3;12443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF89;F2_5V;F;5v;Day2;2450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF93;F1_5V;F;5v;Day1;6793;0;0;0;0;12554;0;0;0;0;0;0;0;5195;0;0;0;2829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF94;J2_5V;J;5v;Day2;7107;0;5228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF11;F1_5VX12;F;5v_12;Day1;9047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF113;H2_5VX12;H;5v_12;Day2;7552;39240;0;0;0;0;0;4270;1850;0;0;0;0;0;0;0;0;0;0;0;0;0;1458;0;0;0;0;0;0;0;0;0;0;0;0;0
AF117;D2_5VX12;D;5v_12;Day2;18573;0;0;0;0;0;0;0;0;0;0;0;0;0;8811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF123;J3_5VX12;J;5v_12;Day3;8347;9356;0;17328;0;5937;1995;7406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2111;0;0;0;0;0;0;0;0;0;0;0;0
AF128;H3_5VX12;H;5v_12;Day3;7196;44909;0;12773;12465;1538;1754;1594;0;781;0;654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1627;0;2004;0;0;0;0;0;0
AF138;E2_5VX12;E;5v_12;Day2;5973;6637;0;0;0;3772;2076;0;24443;0;0;0;17696;0;0;0;3673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF140;F2_5VX12;F;5v_12;Day2;10740;0;0;0;0;0;0;0;0;0;0;3763;0;0;0;9962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF144;A1_5VX12;A;5v_12;Day1;3044;0;3066;0;0;0;0;0;0;4518;0;0;0;0;0;0;0;0;0;867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF15;B1_5VX12;B;5v_12;Day1;0;0;0;0;0;0;0;4985;0;0;0;0;0;0;0;2217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF154;I1_5VX12;I;5v_12;Day1;0;0;0;0;0;1475;0;0;0;0;0;2213;0;0;0;0;1051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF156;C1_5VX12;C;5v_12;Day1;5298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF161;E3_5VX12;E;5v_12;Day3;9864;27370;0;0;0;0;4040;4122;0;0;0;1463;0;0;2401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF163;D3_5VX12;D;5v_12;Day3;4203;5632;0;1804;0;1875;4128;0;0;0;0;0;0;0;0;1682;1129;0;2381;0;0;0;0;0;0;0;0;2351;0;0;0;0;0;0;0;0
AF165;D1_5VX12;D;5v_12;Day1;9272;0;0;0;0;0;0;0;0;0;0;0;0;0;4147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2771;0;0;0
AF175;J1_5VX12;J;5v_12;Day1;6523;0;0;0;0;0;0;4397;0;0;0;2437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
